koi_disposition,koi_pdisposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_insol,koi_model_snr
FALSE POSITIVE,FALSE POSITIVE,0,2.507089906,171.002455,1.255,2.0067,1.34E+03,30.26,730.47,64.9
CONFIRMED,CANDIDATE,1,18.64932728,174.771,0.08,4.4056,8.94E+02,3.12,57.13,46.1
CONFIRMED,CANDIDATE,1,4.90144976,138.60548,0.529,4.1654,1.41E+02,1.7,598.74,50.6
CONFIRMED,CANDIDATE,0.998,9.75192101,138.78608,0.949,4.793,4.18E+02,2.76,135.66,28.5
CONFIRMED,CANDIDATE,1,38.5576546,163.85063,0.911,5.794,9.93E+02,4.02,21.71,39.7
CONFIRMED,CANDIDATE,0.99,3.525632539,170.0479951,0.12,2.59959,2.23E+04,11.58,213.12,1996.7
CANDIDATE,CANDIDATE,1,34.84398644,172.633252,0.934,2.9315,4.52E+03,7.61,16.1,76.8
CONFIRMED,CANDIDATE,1,7.748094239,174.997206,0.517,3.5957,2.47E+03,5.52,204.39,113.2
CONFIRMED,CANDIDATE,1,23.96793669,186.22182,0.416,3.827,1.18E+03,1.8,2.77,27.5
CONFIRMED,CANDIDATE,0.995,8.29561738,135.79284,0.888,1.3421,8.24E+02,1.82,11.39,17.9
CONFIRMED,CANDIDATE,1,8.11437482,176.33968,0.573,2.2736,1.56E+03,2.1,10.55,56.4
FALSE POSITIVE,FALSE POSITIVE,0,38.03672948,196.934947,0.501,4.34617,8.29E+04,27.5,14.81,1300
CANDIDATE,CANDIDATE,0,4.64090031,173.64638,1.28,35.512,2.45E+03,30.09,421.08,296.9
FALSE POSITIVE,FALSE POSITIVE,0,3.747838198,171.66504,1.121,5.0642,6.16E+02,13.65,266.76,138.2
CONFIRMED,CANDIDATE,0.992,14.74914825,138.77799,0.173,6.0995,4.30E+02,2.89,137.91,107.4
CONFIRMED,CANDIDATE,1,21.81295996,174.01085,0.053,4.3791,1.18E+03,3.38,39.33,37.8
FALSE POSITIVE,FALSE POSITIVE,0,7.91936937,172.181092,0.733,3.3148,1.51E+04,10.34,104,389
CANDIDATE,CANDIDATE,,1.028436523,170.228582,1.5734,1.8606,8.10E+03,72.77,3400.48,89.6
CONFIRMED,CANDIDATE,1,15.37562369,173.61402,0.692,3.3169,1.53E+04,11.01,30.54,166
CONFIRMED,CANDIDATE,1,8.10363271,176.9486,0.047,3.161,8.88E+02,2.11,52.82,39.3
CONFIRMED,CANDIDATE,1,4.71510843,134.96178,0.258,2.506,4.18E+02,1.46,108.84,21.3
CONFIRMED,CANDIDATE,1,6.365839713,171.13575,0.524,2.9721,7.81E+02,2.44,165.33,70.8
FALSE POSITIVE,FALSE POSITIVE,0.037,5.97581754,174.77602,0.941,3.065,9.62E+02,3.86,284.25,50.3
FALSE POSITIVE,FALSE POSITIVE,0,2.446737317,170.66951,1.241,4.7211,1.18E+03,26.25,597.19,110.2
CONFIRMED,CANDIDATE,1,3.04033046,169.9490106,0.736,1.8411,1.09E+04,8.99,257.29,568.2
CONFIRMED,CANDIDATE,1,15.33528675,174.00278,0.773,3.897,3.08E+03,5,32.67,86.6
CONFIRMED,CANDIDATE,0.998,7.95825328,137.80219,0.706,4.377,5.00E+01,1.06,314.15,14.7
CONFIRMED,CANDIDATE,1,31.33046135,153.43031,0.798,5.176,5.07E+03,6.5,12.61,117.2
FALSE POSITIVE,FALSE POSITIVE,0.006,3.9043425,173.393734,0.709,3.831,1.62E+04,12.28,351.05,323.4
FALSE POSITIVE,FALSE POSITIVE,0,9.286358079,171.8214689,0.377,3.49949,4.48E+04,17.61,95.03,1671.1
FALSE POSITIVE,FALSE POSITIVE,0,3.951405455,173.276125,1.276,2.1862,2.45E+03,31.44,388.71,117.2
CONFIRMED,CANDIDATE,0.999,23.65369415,171.376107,0.008,8.2183,3.34E+03,7.89,67.65,266.3
CONFIRMED,CANDIDATE,0.996,13.23352214,140.32196,0.014,6.7372,5.05E+02,3.06,146.67,49.1
CONFIRMED,CANDIDATE,0.997,6.15560285,134.81656,0.235,4.9843,2.85E+02,2.32,406.94,35.1
CONFIRMED,CANDIDATE,1,2.090811305,134.17462,0.746,3.388,1.16E+02,1.62,1718.04,19.9
CONFIRMED,CANDIDATE,0.995,3.180027898,133.49863,0.196,3.5797,1.20E+02,1.53,1066.86,50.4
CONFIRMED,CANDIDATE,0.989,50.4467417,178.5014,0.379,7.159,3.70E+02,2.67,24.64,19.4
CONFIRMED,CANDIDATE,1,11.76307164,180.93613,0.048,2.9076,1.04E+03,2.35,33.99,48.9
CONFIRMED,CANDIDATE,0.878,56.2279271,132.29259,0.7,3.57,8.63E+02,2.37,4.22,20.9
FALSE POSITIVE,FALSE POSITIVE,0,2.384052875,171.58362,1.178,3.0918,1.27E+03,17.06,244.87,50.5
CONFIRMED,CANDIDATE,1,7.953547,174.66224,0.3,2.6312,8.75E+02,2.25,55.37,38.4
