koi_disposition,koi_pdisposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_insol,koi_model_snr
CANDIDATE,CANDIDATE,0.965,110.461746,147.5465,0.036,12.46,3.31E+02,1.93,7.34,15.8
CONFIRMED,CANDIDATE,0.995,198.088873,319.73002,0.633,7.955,1.03E+03,3.24,1.63,18
FALSE POSITIVE,FALSE POSITIVE,0,1.08193721,131.5344,0.168,4.788,1.15E+02,0.77,870.17,14.4
CANDIDATE,CANDIDATE,1,44.6226725,137.942,0.931,12.974,1.32E+02,1.73,33.39,20.6
FALSE POSITIVE,FALSE POSITIVE,,2.43142974,133.83385,0.2234,2.713,1.47E+02,1.17,852,10.7
CANDIDATE,CANDIDATE,0.985,1.41975831,132.92,0.644,1.429,6.09E+01,0.85,1968.38,8.1
CONFIRMED,CANDIDATE,0.999,169.135056,201.8055,0.754,8.931,6.41E+02,2.21,1.31,24.5
FALSE POSITIVE,FALSE POSITIVE,0,0.73095491,132.2174,0.415,2.206,2.96E+01,0.88,12770.31,7.5
CANDIDATE,CANDIDATE,0.838,3.951383138,132.06462,1.217,1.0582,4.06E+02,23.51,324.78,23.9
CONFIRMED,CANDIDATE,0.997,6.84978728,134.66167,0.954,4.919,1.39E+02,1.83,322.19,17
CANDIDATE,CANDIDATE,0.775,80.769893,188.5556,0.158,4.2,1.29E+02,1.87,12.07,6.7
FALSE POSITIVE,FALSE POSITIVE,0,1.111362442,132.30056,0.715,6.24,1.34E+02,2.86,14894.75,36.8
CONFIRMED,CANDIDATE,0.08,28.9060526,158.82431,0.863,3.099,9.90E+01,0.79,6.94,13.3
CONFIRMED,CANDIDATE,1,8.10503551,135.88389,0.353,4.459,2.10E+02,1.45,199.74,16.5
CONFIRMED,CANDIDATE,0.991,8.82715783,139.73416,0.249,2.019,3.69E+02,1.67,95.25,11.1
FALSE POSITIVE,FALSE POSITIVE,0,143.196381,227.3054,1.017,10.424,6.18E+02,6.64,4.95,17.4
FALSE POSITIVE,FALSE POSITIVE,0,9.089151782,132.0565248,0.043,3.1886,1.10E+02,4.35,2754.19,7.1
FALSE POSITIVE,FALSE POSITIVE,0,1.87886973,133.07604,0.657,3.876,1.82E+02,1.04,553.59,23.9
FALSE POSITIVE,FALSE POSITIVE,0,0.979161676,132.21831,0.634,2.942,1.60E+02,1.03,1357.43,20.2
CANDIDATE,CANDIDATE,0.901,225.26213,224.9887,0.349,14.459,3.89E+02,2.36,2.77,24.6
FALSE POSITIVE,FALSE POSITIVE,0,0.855922327,131.64426,0.009,1.514,1.31E+02,0.87,1782.11,21.1
FALSE POSITIVE,FALSE POSITIVE,0,25.9528725,154.8736,0.741,12.434,1.64E+02,1.53,55.82,16.9
CANDIDATE,CANDIDATE,1,2.31482311,133.04857,0.067,2.127,5.86E+01,0.69,554.4,14.2
FALSE POSITIVE,FALSE POSITIVE,0,0.952374508,132.33436,0.013,3.006,2.05E+02,1.13,1006.13,33
FALSE POSITIVE,FALSE POSITIVE,0,0.936751792,132.2026,0.991,5.658,2.64E+01,2.07,50168.18,23
FALSE POSITIVE,FALSE POSITIVE,,393.34331,264.7706,0.2607,9.481,1.75E+03,2.27,0.09,21.2
FALSE POSITIVE,FALSE POSITIVE,0,0.621361411,131.67283,0.017,1.0628,4.50E+01,1.12,17004.65,24.6
FALSE POSITIVE,FALSE POSITIVE,,250.2376074,260.3057733,,16.58,,,,
CANDIDATE,CANDIDATE,1,10.778313,136.6142,0.591,5.256,9.07E+01,1.25,306.18,12.5
FALSE POSITIVE,FALSE POSITIVE,0,0.594310785,131.7595,0.161,0.9994,1.13E+02,0.91,4338.76,15.7
CANDIDATE,CANDIDATE,0.988,27.2106807,132.3793,0.973,10.515,9.94E+01,1.73,65.27,16.9
FALSE POSITIVE,FALSE POSITIVE,,4.31978105,134.1491,0.7702,7.204,6.58E+01,3.87,4693.13,23.5
CANDIDATE,CANDIDATE,0.994,4.32710895,133.40886,1.158,1.387,1.09E+02,26.6,900.23,12.9
CANDIDATE,CANDIDATE,0.956,2.90512019,132.56693,0.417,2.293,6.12E+01,0.57,314.96,13.2
CANDIDATE,CANDIDATE,0.999,14.2651545,143.22024,0.353,3.601,6.63E+01,1.06,125.45,13.9
CANDIDATE,CANDIDATE,1,5.04404366,136.00785,0.08,1.682,2.37E+02,1.47,318.92,11.6
CONFIRMED,CANDIDATE,0.994,11.17931581,131.64123,0.381,3.103,9.06E+01,1.81,426.61,12
FALSE POSITIVE,FALSE POSITIVE,0,1.284991846,132.74087,0.485,2.274,2.91E+01,1.17,9065.72,15.3
CANDIDATE,CANDIDATE,0.986,1.166960319,131.64332,0.033,1.6823,9.78E+01,0.88,1534.29,17.9
FALSE POSITIVE,FALSE POSITIVE,0,324.18028,445.8295,0.733,18.15,8.79E+01,2.2,5.01,10.9
FALSE POSITIVE,FALSE POSITIVE,0,0.530959357,131.73991,0.348,2.417,8.44E+01,0.69,2764.64,22
CANDIDATE,CANDIDATE,1,0.701944362,132.00161,0.07,0.641,2.11E+02,0.8,535.78,17.1
CANDIDATE,CANDIDATE,0.999,3.05772668,133.06692,0.007,1.819,3.11E+02,1.23,141.1,13.7
CANDIDATE,CANDIDATE,1,9.9092109,133.092,0.755,2.552,9.42E+02,2.35,54.54,6.4
FALSE POSITIVE,FALSE POSITIVE,0,0.996864568,132.09898,0.644,1.098,8.67E+01,0.77,1505.33,21.4
FALSE POSITIVE,FALSE POSITIVE,0,0.673684895,131.61938,0.547,1.161,5.11E+01,0.7,3803.56,7
CONFIRMED,CANDIDATE,0.979,56.644452,138.762,0.579,16.551,1.05E+02,2.44,68.37,21.8
FALSE POSITIVE,FALSE POSITIVE,0,1.710319812,131.60513,0.559,2.983,4.36E+01,0.56,978.84,19.1
FALSE POSITIVE,FALSE POSITIVE,0,5.62978034,136.8349,0.08,5.847,3.79E+02,1.61,154.59,19.1
FALSE POSITIVE,FALSE POSITIVE,0,1.050852976,132.138232,1.111,1.6788,4.17E+04,45.89,2423.97,143
CANDIDATE,CANDIDATE,0.95,6.39269778,135.6101,0.011,2.138,1.74E+02,1.21,148.31,11.3
FALSE POSITIVE,FALSE POSITIVE,0,1.540398683,131.99063,0.47,1.5676,7.30E+01,12.65,114263.25,4.8
CONFIRMED,CANDIDATE,1,3.0570982,134.50122,0.104,3.571,1.44E+02,0.99,493.09,15.7
FALSE POSITIVE,FALSE POSITIVE,,365.25921,236.672,0.0035,13.74,5.29E+02,2.39,1.23,12.8
CANDIDATE,CANDIDATE,0.953,7.87845756,138.58644,0.562,3.912,4.41E+01,0.78,226.11,10.5
FALSE POSITIVE,FALSE POSITIVE,,372.72688,175.6195,0.9082,12.751,3.32E+02,3.52,2.67,17
FALSE POSITIVE,FALSE POSITIVE,0.002,9.9398272,140.8334549,1.973,4.1198,4.79E+02,101.71,106.5,4.3
FALSE POSITIVE,FALSE POSITIVE,0,0.866346,131.6286,0.409,2.011,1.16E+02,1.24,5186.18,13.9
FALSE POSITIVE,FALSE POSITIVE,0,0.885129679,131.88274,0.651,3.156,1.77E+02,1.21,2373.06,21.2
FALSE POSITIVE,FALSE POSITIVE,,56.898749,160.0479,0.4491,3.522,5.14E+02,6.33,355.22,6.2
FALSE POSITIVE,FALSE POSITIVE,0,0.438153876,131.5167,1.124,1.3885,1.65E+02,14,8008.07,33.4
FALSE POSITIVE,FALSE POSITIVE,,398.40957,178.4393,0.1165,11.486,8.80E+02,3.33,1.44,11
FALSE POSITIVE,FALSE POSITIVE,0,0.696286519,131.87824,0.985,3.194,1.21E+02,1.34,3537.89,19.7
CONFIRMED,CANDIDATE,0.956,5.79179934,133.35814,0.896,3.474,1.19E+02,1.69,528.14,17.7
CONFIRMED,CANDIDATE,0.677,129.945392,176.82285,0.909,5.786,5.00E+02,1.18,0.23,13.1
CANDIDATE,CANDIDATE,0.638,27.9040511,154.9434,0.854,5.346,3.00E+02,2.19,49.53,12.8
FALSE POSITIVE,FALSE POSITIVE,0,1.39772545,132.3377,0.644,4.129,1.81E+02,1.58,2275.72,17.9
FALSE POSITIVE,FALSE POSITIVE,,12.4246697,134.0396,1.9583,44.07,4.24E+02,168.91,344.8,116.9
FALSE POSITIVE,FALSE POSITIVE,,383.00806,281.6723,0.0358,9.71,6.32E+02,2.2,0.72,7.6
FALSE POSITIVE,FALSE POSITIVE,0,0.847588864,131.55971,0.507,2.246,6.71E+01,0.91,5000.82,21.3
FALSE POSITIVE,FALSE POSITIVE,,331.81534,347.0408,0.1599,10.56,3.70E+02,1.84,1.2,7.8
FALSE POSITIVE,FALSE POSITIVE,0,1.75649346,132.01087,0.242,3.429,2.75E+01,1.62,13425.76,13.3
CANDIDATE,CANDIDATE,,0.644322147,131.954907,1.3275,0.893,1.08E+03,24.39,1516.94,79.6
FALSE POSITIVE,FALSE POSITIVE,0,1.8912501,132.6923,1.24,7.648,7.31E+02,23.5,427.26,31.6
CANDIDATE,CANDIDATE,1,17.8075656,146.88323,0.474,1.643,1.51E+03,3.92,71.56,11.8
FALSE POSITIVE,FALSE POSITIVE,0,0.996023763,132.16613,1.147,5.412,9.83E+01,18.36,3727.96,21.3
FALSE POSITIVE,FALSE POSITIVE,,36.616669,156.001,0.3646,8.62,2.37E+02,1.68,21.35,3.4
CANDIDATE,CANDIDATE,,333.03842,220.9235,0.2184,5.948,1.26E+03,3.19,0.89,7
CANDIDATE,CANDIDATE,0.757,3.75030469,134.80628,0.77,3.246,3.55E+01,0.87,842.07,10.3
CANDIDATE,CANDIDATE,1,0.259819659,131.85061,0.972,0.6513,2.32E+02,1.22,1410.9,24.1
FALSE POSITIVE,FALSE POSITIVE,0,0.566795467,131.84,0.504,4.712,3.82E+01,0.67,6076.99,25.8
CANDIDATE,CANDIDATE,0.978,4.72693131,135.2927,0.065,4.036,2.62E+01,0.61,495.58,11.5
CANDIDATE,CANDIDATE,1,10.0989634,132.3351,0.529,6.428,5.70E+01,1.03,251.36,8.9
FALSE POSITIVE,FALSE POSITIVE,0,3.67515329,131.681,0.73,7.083,5.60E+01,0.71,414.64,16.7
FALSE POSITIVE,FALSE POSITIVE,0.008,0.715825886,132.06428,0.099,1.212,4.06E+01,0.58,3196.46,11
CONFIRMED,CANDIDATE,0.868,26.5487294,137.24401,0.21,7.968,1.42E+02,2.54,115.61,15.3
FALSE POSITIVE,FALSE POSITIVE,1,0.492291661,132.393012,0.957,0.894,1.11E+03,3.42,2415.37,62
FALSE POSITIVE,FALSE POSITIVE,0.01,1.6911935,132.93323,0.903,9.479,2.80E+03,6.36,1292.5,26.7
FALSE POSITIVE,FALSE POSITIVE,0,2.42803503,133.5931,0.057,3.045,7.38E+01,0.85,1249.87,8.8
FALSE POSITIVE,FALSE POSITIVE,,372.94844,217.8357,0.4268,13.879,2.54E+02,1.34,0.7,17.1
FALSE POSITIVE,FALSE POSITIVE,0,0.787120016,131.73939,1.263,3.1648,2.66E+02,23.81,3579.78,43.3
CANDIDATE,CANDIDATE,1,13.12297275,136.08882,0.885,2.234,4.37E+01,1.29,266.05,12.9
CONFIRMED,CANDIDATE,0.999,6.28384079,133.20513,0.101,4.291,3.57E+01,0.73,356.49,14.9
FALSE POSITIVE,FALSE POSITIVE,,21.131609,139.7493,0.0731,13.66,7.35E+01,0.94,44.45,6.5
FALSE POSITIVE,FALSE POSITIVE,,81.675841,158.9694,0.3455,11.53,1.43E+02,1.31,7.33,7
FALSE POSITIVE,FALSE POSITIVE,,28.5463574,159.2763,0.2411,9.29,1.53E+02,1.35,29.76,10.1
CANDIDATE,CANDIDATE,0.536,22.7909233,134.4333,0.871,9.565,5.36E+01,1.38,130.75,19.4
FALSE POSITIVE,FALSE POSITIVE,,72.563291,202.0235,0.4863,3.088,3.32E+02,1.99,8.58,6.4
CONFIRMED,CANDIDATE,0.976,174.510276,201.47056,0.024,6.689,1.53E+03,1.74,0.28,14.8
CANDIDATE,CANDIDATE,1,0.681180633,131.63459,0.31,0.8844,1.56E+02,2.97,14116.16,16.6
FALSE POSITIVE,FALSE POSITIVE,,15.705388,135.0768,0.6449,4.871,2.84E+02,3.3,459.41,10.6
FALSE POSITIVE,FALSE POSITIVE,0,7.65270746,134.46038,0.97,79.8969,6.41E+02,3.21,226.81,254.3
CONFIRMED,CANDIDATE,0.985,2.27164952,131.82601,0.01,4.054,8.24E+01,0.97,1269.46,12.7
FALSE POSITIVE,FALSE POSITIVE,0.001,3.84835742,133.25649,0.671,10.18,8.42E+01,0.77,288.62,32.8
CANDIDATE,CANDIDATE,,369.13236,235.5195,0.0824,10.34,2.16E+02,2.14,2.73,11.9
FALSE POSITIVE,FALSE POSITIVE,,1.0388961,132.37849,1.7017,4.755,6.01E+02,114.1,9145.54,14.7
FALSE POSITIVE,FALSE POSITIVE,,293.76887,257.9779,0.753,4.68,4.62E+02,1.97,1.28,4
FALSE POSITIVE,FALSE POSITIVE,0,1.87885327,133.08861,0.513,3.302,1.21E+02,0.97,922.49,12.1
FALSE POSITIVE,FALSE POSITIVE,0,0.785473311,131.861548,0.389,1.3911,3.40E+02,1.61,2325.64,57
FALSE POSITIVE,FALSE POSITIVE,0,5.2438982,132.6882,0.644,7.881,1.62E+02,1.24,262.14,18.7
CANDIDATE,CANDIDATE,0.954,9.08745206,139.99222,0.341,3.786,3.51E+01,0.73,217.95,11.7
FALSE POSITIVE,FALSE POSITIVE,,441.877824,251.778,1.5335,6.647,1.30E+03,39.55,0.15,15.2
FALSE POSITIVE,FALSE POSITIVE,0,2.9761504,132.9276,0.064,6.079,2.60E+02,1.02,102.54,8.3
CONFIRMED,CANDIDATE,0.997,64.0019669,132.61779,0.701,4.724,1.11E+03,2.48,2.55,14.2
CONFIRMED,CANDIDATE,0.914,4.83809469,135.1562,0.014,1.096,1.54E+03,0.79,3.7,11.3
FALSE POSITIVE,FALSE POSITIVE,,361.91436,241.7138,0.6901,8.68,2.28E+02,1.84,1.84,13
CONFIRMED,CANDIDATE,0.995,9.3281912,132.85459,0.044,3.991,4.52E+01,0.59,91.02,13.7
CANDIDATE,CANDIDATE,0.948,106.957467,224.9874,0.705,7.006,5.40E+02,2.4,5.7,11.7
FALSE POSITIVE,FALSE POSITIVE,1,0.629001455,131.55662,0.365,1.263,1.47E+01,0.81,30567.67,9.4
CONFIRMED,CANDIDATE,0.995,2.71603664,132.35962,0.44,1.744,9.85E+01,1.05,807.43,13.1
CANDIDATE,CANDIDATE,0.974,75.8781344,194.67762,0.705,1.383,1.05E+03,3.39,7.18,11.9
FALSE POSITIVE,FALSE POSITIVE,,374.59003,303.4857,0.0624,15.19,2.68E+02,1.34,0.62,6.6
CANDIDATE,CANDIDATE,0.969,147.661729,243.95262,0.002,6.207,1.09E+03,1.59,0.23,13.2
CANDIDATE,CANDIDATE,0.912,13.00291716,132.02306,0.701,3.058,2.25E+02,1.28,60.11,14
FALSE POSITIVE,FALSE POSITIVE,0,319.30633,221.3106,0.092,6.74,1.55E+02,1.26,1.44,7.2
CANDIDATE,CANDIDATE,0.383,42.0292298,138.8086,0.015,8.499,3.74E+02,2.33,26.46,14.5
FALSE POSITIVE,FALSE POSITIVE,,1.75254087,132.73775,0.5574,4.098,4.25E+01,1.41,8141.84,17.7
CANDIDATE,CANDIDATE,0,0.505111993,131.51614,0.841,0.4053,2.13E+02,1.58,2970.58,18.7
FALSE POSITIVE,FALSE POSITIVE,0,0.646745436,132.02582,0.942,1.188,1.16E+02,1.49,7468.24,14.3
CONFIRMED,CANDIDATE,0.996,3.38557445,133.97411,0.129,1.879,1.22E+02,1.63,1122.9,13.1
FALSE POSITIVE,FALSE POSITIVE,,2.754024,133.731,0.7277,4.15,1.72E+02,1.68,1374.41,13.8
FALSE POSITIVE,FALSE POSITIVE,0,1.975208831,131.63127,0.559,1.513,7.63E+01,1.59,4299.89,15.1
FALSE POSITIVE,FALSE POSITIVE,0,0.960843605,131.7739,1.143,3.22,1.42E+02,19.15,3120.32,25.5
FALSE POSITIVE,FALSE POSITIVE,0,4.206109,132.2382,0.607,5.16,1.20E+02,0.91,235.01,11.9
FALSE POSITIVE,FALSE POSITIVE,0,0.962590772,132.421278,1.236,1.2569,1.02E+03,31.51,3989.37,90.4
CONFIRMED,CANDIDATE,1,13.3997555,131.84235,0.375,3.534,1.67E+02,1.51,145.65,13.6
CANDIDATE,CANDIDATE,0.992,2.49385348,133.15177,0.331,1.414,4.69E+01,0.59,579.64,12.3
FALSE POSITIVE,FALSE POSITIVE,0,0.776950288,132.0396,0.047,1.288,3.96E+02,1.72,2974.07,25.8
FALSE POSITIVE,FALSE POSITIVE,0,5.93725628,135.9371,0.351,3.639,1.16E+02,0.86,148.97,17.1
CANDIDATE,CANDIDATE,0.999,18.22211768,553.06646,0.973,2.044,2.32E+03,7.45,34.99,15.2
CONFIRMED,CANDIDATE,1,4.56383697,132.26068,0.365,2.271,2.02E+02,1.22,218.18,9.9
CANDIDATE,CANDIDATE,0.887,16.5340022,135.409,0.525,4.063,8.92E+01,1.17,106.21,9.3
FALSE POSITIVE,FALSE POSITIVE,,55.119831,153.6508,0.6049,4.703,1.15E+02,1.68,35.48,8.2
FALSE POSITIVE,FALSE POSITIVE,,25.6416117,152.9007,0.5744,5.5,1.26E+02,1.76,98.5,4.9
FALSE POSITIVE,FALSE POSITIVE,0,1.33258455,132.0268,1.141,5.77,1.53E+02,15.89,1884.66,8.1
FALSE POSITIVE,FALSE POSITIVE,,350.81029,147.6369,0.3892,11.29,5.38E+02,2.86,1.51,15.1
CONFIRMED,CANDIDATE,0.996,0.341842017,131.660336,0.957,1.1554,2.86E+02,1.72,3991.16,70.1
CANDIDATE,CANDIDATE,0.97,13.9482197,132.7505,0.197,7.686,1.19E+02,2.53,301.8,14.5
CANDIDATE,CANDIDATE,0.988,5.67577999,134.91027,0.91,3.554,5.12E+01,1.22,802.11,11.2
FALSE POSITIVE,FALSE POSITIVE,0.001,0.570953851,131.5725,0.059,0.998,7.61E+01,1.01,8688.17,8.9
CANDIDATE,CANDIDATE,0.998,49.564693,170.6973,0.685,8.54,1.14E+02,1.63,28.19,15
FALSE POSITIVE,FALSE POSITIVE,0,4.29258258,131.77675,0.339,3.069,3.70E+02,1.87,428.77,16.1
FALSE POSITIVE,FALSE POSITIVE,0,0.960842633,131.777663,1.341,2.6441,2.02E+03,67.53,14655.53,176.1
FALSE POSITIVE,FALSE POSITIVE,0,14.5893928,136.1407,,15.54,,,102.46,
CONFIRMED,CANDIDATE,0.877,5.49548533,133.63966,0.202,2.461,8.58E+01,1.3,661.04,14.2
CANDIDATE,CANDIDATE,0.854,2.89494709,132.62547,0.191,3.254,4.58E+01,1.16,3204.25,14.3
FALSE POSITIVE,FALSE POSITIVE,0,0.980505042,132.097771,1.206,1.4068,4.27E+02,26.35,3100.61,51.5
CONFIRMED,CANDIDATE,0.995,20.4853893,146.9183,0.834,10.229,8.95E+01,3.6,251.16,17.9
CONFIRMED,CANDIDATE,1,3.58273837,134.95108,0.143,1.523,3.61E+02,1.64,302.74,11.6
CONFIRMED,CANDIDATE,0.999,15.604841,131.9989,0.715,4.543,7.34E+01,1.57,248.62,15.3
FALSE POSITIVE,FALSE POSITIVE,,75.681309,167.6921,0.6194,11.62,1.08E+02,1.64,23.25,9.1
CANDIDATE,CANDIDATE,0.953,0.762950224,131.9157,0.197,1.133,1.87E+02,1,1763.73,15.8
FALSE POSITIVE,FALSE POSITIVE,0,62.060783,134.4944,0.928,28.203,4.73E+02,2.11,6.07,19.9
CANDIDATE,CANDIDATE,0.971,170.995748,163.95737,0.839,3.88,4.77E+02,4.9,10.86,15.5
FALSE POSITIVE,FALSE POSITIVE,0,12.4252735,141.5658,0.171,20.756,8.47E+01,2.37,673.53,36.6
FALSE POSITIVE,FALSE POSITIVE,,39.2820405,139.9224,1.241,3.344,1.58E+02,58.67,108.22,6.9
FALSE POSITIVE,FALSE POSITIVE,,361.5456125,190.4475347,,25.28,,,,
CANDIDATE,CANDIDATE,0.998,19.5650801,136.28555,0.025,4.242,6.17E+01,0.97,92.77,13.8
FALSE POSITIVE,FALSE POSITIVE,,355.79978,346.7189,0.4433,5.972,1.72E+02,1.87,2.6,10.5
FALSE POSITIVE,FALSE POSITIVE,,410.99389,190.8191,0.3421,12.01,5.50E+02,2.09,0.55,8.7
FALSE POSITIVE,FALSE POSITIVE,0,2.17823752,132.00513,0.037,2.259,4.40E+01,0.64,1114.8,10.1
FALSE POSITIVE,FALSE POSITIVE,,1.404674486,131.55621,0.8171,5.056,1.56E+02,0.86,379.5,20.7
FALSE POSITIVE,FALSE POSITIVE,,24.9097436,143.0403,0.5729,3.856,1.50E+02,2.24,163.58,9.7
CONFIRMED,CANDIDATE,1,12.3101351,141.8765,0.783,3.797,2.64E+02,1.51,42.42,12.9
CONFIRMED,CANDIDATE,0.998,2.61576515,131.97896,0.25,2.777,1.20E+02,1.06,851.6,15.1
FALSE POSITIVE,FALSE POSITIVE,,409.2452,265.2465,0.0176,13.06,5.31E+02,2.1,0.84,12.8
CONFIRMED,CANDIDATE,0.999,6.94245216,135.95819,0.485,3.491,1.61E+02,1.34,239.39,14.7
CANDIDATE,CANDIDATE,0.99,5.53312006,132.1648,0.299,3.486,5.31E+01,1.05,680.77,13.4
CANDIDATE,CANDIDATE,0,200.721168,280.0733,0.234,9.91,8.23E+02,3.32,2.72,13.1
CONFIRMED,CANDIDATE,0.966,9.4061364,137.7073,0.397,4.882,7.95E+01,1.14,219.36,13.2
FALSE POSITIVE,FALSE POSITIVE,,0.935086665,131.52593,0.4742,1.12,7.12E+01,1.18,8250.8,13.1
FALSE POSITIVE,FALSE POSITIVE,0,1.489457454,131.99809,0.171,3.028,5.63E+01,1.58,8026.6,29.7
FALSE POSITIVE,FALSE POSITIVE,0,1.181165291,132.42522,0.632,1.013,3.70E+02,1.52,905.88,14.1
CONFIRMED,CANDIDATE,0.997,66.373298,174.01595,0.021,8.559,4.15E+02,1.99,11.59,13.7
CONFIRMED,CANDIDATE,0.948,13.61165024,144.16808,0.112,7.617,9.55E+01,1.46,198.73,31.6
CANDIDATE,CANDIDATE,0.977,6.24564633,137.16241,0.594,2.459,2.12E+02,1.06,67.62,11.9
FALSE POSITIVE,FALSE POSITIVE,0,0.945829261,132.09286,0.326,1.715,9.82E+01,0.86,2433.01,15.1
CANDIDATE,CANDIDATE,0.999,10.8614163,136.8213,0.939,6.02,6.48E+01,1.01,154.68,12.9
FALSE POSITIVE,FALSE POSITIVE,0,0.973160836,132.25412,0.034,0.864,1.38E+02,1.22,3303.84,9.8
FALSE POSITIVE,FALSE POSITIVE,0,4.05943749,133.1883,0.914,3.245,1.05E+02,2.11,664.54,18.1
CANDIDATE,CANDIDATE,0.981,7.03965141,137.41892,0.778,3.141,2.69E+02,2.72,445.49,9.8
CANDIDATE,CANDIDATE,0.984,4.72519164,131.9997,0.6,3.751,9.88E+01,3.98,6060.79,10
FALSE POSITIVE,FALSE POSITIVE,0,6.39903778,134.7133,0.241,3.15,1.87E+02,6.54,2376.4,24.1
CANDIDATE,CANDIDATE,0.997,66.6434565,170.08058,0.985,2.385,2.77E+02,2.99,12.17,14.8
FALSE POSITIVE,FALSE POSITIVE,,0.739761008,131.80913,1.2359,7.589,2.92E+02,9.67,117.05,34.7
FALSE POSITIVE,FALSE POSITIVE,0,0.950735805,131.7794,0.57,1.1434,1.75E+02,1.39,3129.59,17.1
FALSE POSITIVE,FALSE POSITIVE,,369.819993,179.3674,0.9179,20.232,1.60E+03,4.25,0.38,42.1
FALSE POSITIVE,FALSE POSITIVE,0,2.17815935,132.02414,0.503,1.839,1.16E+02,1.22,1398.42,14.1
CANDIDATE,CANDIDATE,0.298,160.850075,144.5039,0.769,9.427,4.28E+02,3.41,6.87,16.1
FALSE POSITIVE,FALSE POSITIVE,0,0.720460644,132.012909,1.272,1.7846,2.11E+03,37.33,5954.82,117.2
FALSE POSITIVE,FALSE POSITIVE,0,3.7948721,134.40039,1.168,1.713,3.05E+02,16.1,325.63,11.3
CANDIDATE,CANDIDATE,0.995,122.0804953,155.02532,0.957,4.054,8.00E+02,2.92,1.83,23.3
CANDIDATE,CANDIDATE,0.98,6.2614227,133.2299,0.069,4.779,5.14E+01,0.81,407.58,10.6
CANDIDATE,CANDIDATE,1,3.70386741,132.69596,0.033,1.41,1.26E+02,0.86,247.2,13.1
FALSE POSITIVE,FALSE POSITIVE,0,0.638437699,131.592552,0.904,0.3028,2.87E+02,2.48,2024.34,25.8
FALSE POSITIVE,FALSE POSITIVE,0,1.8912851,132.676,1.216,6.182,1.22E+03,19.96,299.44,25.7
CANDIDATE,CANDIDATE,0.926,19.8751355,148.3935,0.919,8.041,1.09E+02,2.49,299.47,15.2
FALSE POSITIVE,FALSE POSITIVE,,343.42046,327.4112,0.3519,11.11,4.83E+02,2.15,1.27,10
FALSE POSITIVE,FALSE POSITIVE,0,3.47148164,133.7138,0.719,4.679,1.23E+02,0.85,209.73,9.5
CANDIDATE,CANDIDATE,1,5.94373492,135.25897,0.197,1.847,3.01E+02,1.14,48.82,13.2
FALSE POSITIVE,FALSE POSITIVE,,244.60373,230.282,0.2652,10.87,7.70E+02,2.1,0.72,17.7
CONFIRMED,CANDIDATE,0.895,85.7567919,162.71914,0.713,5.695,1.59E+02,2.99,18.44,16.9
CANDIDATE,CANDIDATE,1,2.18660188,131.94832,0.828,1.585,1.22E+02,0.98,345.07,14.2
CANDIDATE,CANDIDATE,,7.2929891,135.6364,0.022,4.053,7.25E+01,0.73,158.19,7.1
FALSE POSITIVE,FALSE POSITIVE,0,3.1339356,133.5458,0.768,4.477,2.04E+02,1.58,704.95,21.4
CONFIRMED,CANDIDATE,0.992,2.55315031,132.44849,0.32,1.849,1.85E+02,1.25,699.7,15.4
CONFIRMED,CANDIDATE,1,2.936587946,133.03618,0.863,1.8952,2.80E+02,1.77,473.18,20.1
CANDIDATE,CANDIDATE,0.996,145.786556,215.0441,0.133,4.891,3.78E+02,1.82,2.84,13.9
FALSE POSITIVE,FALSE POSITIVE,0,1.33254212,132.0554,0.662,3.848,3.74E+01,1.45,12477.61,10.6
CANDIDATE,CANDIDATE,0.986,10.7769944,140.2902,0.069,2.616,1.86E+02,1.15,75.83,11.3
CANDIDATE,CANDIDATE,0.77,2.5093344,133.1123,0.019,1.833,1.84E+02,1.47,1143.04,8.4
FALSE POSITIVE,FALSE POSITIVE,0,0.918921494,131.68016,0.011,0.9425,3.21E+02,1.49,1960.12,23.7
CONFIRMED,CANDIDATE,0.99,7.84931877,134.8747,0.107,3.747,6.82E+01,0.81,172.98,12.6
FALSE POSITIVE,FALSE POSITIVE,,67.7125988,149.82165,1.8756,1.538,5.42E+02,82.63,10.63,13.4
FALSE POSITIVE,FALSE POSITIVE,0,12.4285576,133.7175,0.892,13.98,6.20E+02,2.22,47.26,13.2
FALSE POSITIVE,FALSE POSITIVE,0,1.275511306,132.44654,0.011,1.889,6.93E+01,0.84,2160.97,10.3
FALSE POSITIVE,FALSE POSITIVE,1,5.78159956,136.77178,0.66,2.222,7.28E+01,1.7,1117.19,16.4
FALSE POSITIVE,FALSE POSITIVE,0,8.4805019,135.8339,0.972,8.345,1.65E+02,1.26,87.82,11
CANDIDATE,CANDIDATE,0.848,24.5607107,146.7938,0.374,8.679,5.52E+01,1.13,90.55,14.9
CONFIRMED,CANDIDATE,1,2.94648935,132.42208,0.01,3.155,5.70E+01,0.89,1187.5,12.7
FALSE POSITIVE,FALSE POSITIVE,0,1.227986164,131.84491,0.477,1.551,1.51E+02,1.17,1846.47,14.8
FALSE POSITIVE,FALSE POSITIVE,0,2.11548883,132.00942,0.505,4.008,1.70E+02,1.29,978.38,17.6
FALSE POSITIVE,FALSE POSITIVE,0,358.96247,295.9933,0.424,23.49,6.71E+02,2.37,0.81,12.1
